City_Id,City_Name,Country_Id
1073,Fruitland,1
1074,Frytown,1
1075,Galt,1
1076,Galva,1
1077,Garber,1
1078,Garden City,1
1079,Garden Grove,1
1080,Garnavillo,1
1081,Garner,1
1082,Garrison,1
1083,Garwin,1
1084,Geneva,1
1085,George,1
1086,Gibson,1
1087,Gilbert,1
1088,Gilbertville,1
1089,Gillett Grove,1
1090,Gilman,1
1091,Gilmore City,1
1092,Gladbrook,1
1093,Glenwood,1
1094,Glidden,1
1095,Goldfield,1
1096,Goodell,1
1097,Goose Lake,1
1098,Gowrie,1
1099,Graettinger,1
1100,Graf,1
1101,Grafton,1
1102,Grand Junction,1
1103,Grand Mound,1
1104,Grand River,1
1105,Grandview,1
1106,Granger,1
1107,Grant,1
1108,Granville,1
1109,Gravity,1
1110,Gray,1
1111,Greeley,1
1112,Greene,1
1113,Greenfield,1
1114,Green Mountain,1
1115,Greenville,1
1116,Grimes,1
1117,Grinnell,1
1118,Griswold,1
1119,Grundy Center,1
1120,Gruver,1
1121,Guernsey,1
1122,Guthrie Center,1
1123,Guttenberg,1
1124,Halbur,1
1125,Hamburg,1
1126,Hamilton,1
1127,Hampton,1
1128,Hancock,1
1129,Hanlontown,1
1130,Hansell,1
1131,Harcourt,1
1132,Hardy,1
1133,Harlan,1
1134,Harper,1
1135,Harpers Ferry,1
1136,Harris,1
1137,Hartford,1
1138,Hartley,1
1139,Hartwick,1
1140,Harvey,1
1141,Hastings,1
1142,Havelock,1
1143,Haverhill,1
1144,Hawarden,1
1145,Hawkeye,1
1146,Hayesville,1
1147,Hayfield,1
1148,Hazleton,1
1149,Hedrick,1
1150,Henderson,1
1151,Hepburn,1
1152,Hiawatha,1
1153,High Amana,1
1154,Hills,1
1155,Hillsboro,1
1156,Hinton,1
1157,Holiday Lake,1
1158,Holland,1
1159,Holstein,1
1160,Holy Cross,1
1161,Homestead,1
1162,Hopkinton,1
1163,Hornick,1
1164,Hospers,1
1165,Houghton,1
1166,Hubbard,1
1167,Hudson,1
1168,Hull,1
1169,Humboldt,1
1170,Humeston,1
1171,Hutchins,1
1172,Huxley,1
1173,Ida Grove,1
1174,Imogene,1
1175,Independence,1
1176,Indianola,1
1177,Inwood,1
1178,Ionia,1
1179,Iowa City,1
1180,Iowa Falls,1
1181,Ireton,1
1182,Irvington,1
1183,Irwin,1
1184,Jackson Junction,1
1185,Jacksonville,1
1186,Jamaica,1
1187,Janesville,1
1188,Jefferson,1
1189,Jesup,1
1190,Jewell Junction,1
1191,Johnston,1
1192,Joice,1
1193,Jolley,1
1194,Kalona,1
1195,Kamrar,1
1196,Kanawha,1
1197,Kellerton,1
1198,Kelley,1
1199,Kellogg,1
1200,Kensett,1
1201,Kent,1
1202,Keokuk,1
1203,Keomah Village,1
1204,Keosauqua,1
1205,Keota,1
1206,Keswick,1
1207,Keystone,1
1208,Kimballton,1
1209,Kingsley,1
1210,Kinross,1
1211,Kirkman,1
1212,Kirkville,1
1213,Kiron,1
1214,Klemme,1
1215,Knierim,1
1216,Knoxville,1
1217,Lacona,1
1218,Ladora,1
1219,Lake City,1
1220,Lake Mills,1
1221,Lake Panorama,1
1222,Lake Park,1
1223,Lakeside,1
1224,Lake View,1
1225,Lakota,1
